episode,reward
0,18.318441031005264
1,167.3160081864453
2,147.36545835205305
3,68.22759014326041
4,46.39973272545479
5,122.6570384983445
6,2.9707901888963617
7,-29.30804267631093
8,6.461458241300012
9,-121.24358665026452
10,25.13683417321852
11,41.947763947134234
12,21.842372023201143
13,134.64109968528624
14,103.34577923982687
15,131.25978061677785
16,148.68605745214097
17,107.82708649008737
18,-34.55815394481107
19,151.87109721807687
20,7.540245567836625
21,13.768790854779448
22,-94.15507874076711
23,-27.202935318401316
24,15.908622488768513
25,183.87169575163176
26,136.739260175619
27,28.33063773563606
28,163.21757031908894
29,144.66684633692196
30,-28.263403341648175
31,56.76801110958776
32,-66.08839708301228
33,-34.93972753775464
34,53.34214510899367
35,58.53027533235685
36,96.0277154704268
37,127.91029177968937
38,-24.79480486119422
39,-16.332189399571394
40,7.4499738647722324
41,144.79249920835304
42,-2.4775887174135587
43,185.87385176430047
44,135.09717349077704
45,73.59437738300895
46,107.0485741292173
47,202.0564074885673
48,101.9903034953957
49,91.34068489715172
50,-27.688675212586823
51,39.31150303499568
52,210.39596789400326
53,88.8869975057598
54,211.8273766813465
55,-72.79774444937927
56,115.40766288643084
57,111.49798826568096
58,8.427502263862797
59,67.51555204717086
60,209.82934608244952
61,-70.83474442616789
62,99.11738549175782
63,132.7903538433457
64,25.603375289921267
65,98.86866296051208
66,101.31532270754668
67,182.12024752987355
68,-0.9118398517899691
69,151.06828797719484
70,108.04325308145947
71,-140.58440976684636
72,-12.140803809386355
73,-91.34810777425858
74,72.35432017077638
75,116.06004292556185
76,132.36861785840722
77,-55.61830051235989
78,-29.971958269110004
79,-106.55276209419945
80,162.0501359392356
81,156.00165364086922
82,146.20800516545353
83,141.14243359903548
84,193.186930097441
85,12.86050651922454
86,-68.17206925378983
87,175.62548199176769
88,218.92459339676995
89,215.50177806616074
90,229.67846199397715
91,94.57281478495798
92,37.786894415254665
93,86.62347188076494
94,46.12089506611363
95,104.71083082953312
96,35.521320178863355
97,-292.0366438340734
98,-90.06664919544235
99,-245.18519777618218
100,-36.74586669718401
101,-27.95173168717021
102,212.02676908585076
103,-83.89131393029072
104,-6.839280072311865
105,100.03325982492379
106,67.76481956323352
107,7.068068723859363
108,46.19726685292362
109,174.3416418204489
110,20.674769495289745
111,-50.56351520286776
112,-26.666402979512707
113,103.47467402831504
114,145.50993262609177
115,101.72307536249113
116,-8.436405373747155
117,190.91328819664108
